,timestamp,source host,destination,username
0,2022-02-02 00:00:00.000,mac-230,mac-598,Cassandra Parker
1,2022-02-02 00:40:19.200,Server-machine-107,Server-machine-515,Angela Cain
2,2022-02-02 01:20:38.400,Server-machine-240,srv-565,Robert Odom
3,2022-02-02 02:00:57.600,server266,Server-machine-20,Floyd Howell
4,2022-02-02 02:41:16.800,comp 497,srv-616,Ivan Romo
5,2022-02-02 03:21:36.000,server977,server105,Sherry Holmes
6,2022-02-02 04:01:55.200,srv-30,Mac-11,Mary Carter
7,2022-02-02 04:42:14.400,mac-994,esx-669,Denise Hernandez
8,2022-02-02 05:22:33.600,Mac-402,Server-machine-97,Shannon Clark
9,2022-02-02 06:02:52.800,Comp 721,Mac-900,Chris Mitchell
10,2022-02-02 06:43:12.000,server430,Server-machine-302,Lucille Vasquez
11,2022-02-02 07:23:31.200,Server-machine-880,Server-machine-721,Billy Zamudio
12,2022-02-02 08:03:50.400,Server-machine-828,esx-629,Frankie Sinclair
13,2022-02-02 08:44:09.600,Server-machine-364,Comp 510,Hugh Hays
14,2022-02-02 09:24:28.800,comp 630,esx-660,Stephanie Childers
15,2022-02-02 10:04:48.000,esx-183,server779,David Hagan
16,2022-02-02 10:45:07.200,srv-373,mac-421,Amy Gonzalez
17,2022-02-02 11:25:26.400,server45,comp 293,Ronald Schafer
18,2022-02-02 12:05:45.600,srv-812,mac-167,Michael Taylor
19,2022-02-02 12:46:04.800,mac-434,comp 33,Dorothy Green
20,2022-02-02 13:26:24.000,srv-310,Mac-306,Bonnie Tindell
21,2022-02-02 14:06:43.200,esx-240,srv-595,Mary Cotney
22,2022-02-02 14:47:02.400,Mac-753,esx-575,Samantha Wiater
23,2022-02-02 15:27:21.600,Mac-697,comp 827,Sharon Ball
24,2022-02-02 16:07:40.800,Server-machine-287,srv-974,Karen Clark
25,2022-02-02 16:48:00.000,Mac-855,comp 618,Antonio Fernandez
26,2022-02-02 17:28:19.200,srv-399,server325,Jeremy Mullinix
27,2022-02-02 18:08:38.400,comp 712,esx-827,Chris Moore
28,2022-02-02 18:48:57.600,Comp 759,comp 340,Thomas Mitchell
29,2022-02-02 19:29:16.800,Server-machine-578,srv-153,Mary Kennan
30,2022-02-02 20:09:36.000,Mac-422,comp 705,Pamela Morgan
31,2022-02-02 20:49:55.200,Mac-945,Server-machine-832,Kenneth Miller
32,2022-02-02 21:30:14.400,comp 584,Server-machine-310,Josephine Lenz
33,2022-02-02 22:10:33.600,Server-machine-643,server357,Don Pergola
34,2022-02-02 22:50:52.800,Mac-94,comp 714,Kami Ray
35,2022-02-02 23:31:12.000,Comp 875,mac-564,David Alford
36,2022-02-03 00:11:31.200,Server-machine-319,comp 750,Michelle Somers
37,2022-02-03 00:51:50.400,esx-297,mac-343,William Williams
38,2022-02-03 01:32:09.600,Server-machine-812,Mac-681,David Townsend
39,2022-02-03 02:12:28.800,esx-464,server318,Thomas Nguyen
40,2022-02-03 02:52:48.000,Server-machine-718,comp 559,Rachael Perez
41,2022-02-03 03:33:07.200,server694,server569,Leon Moore
42,2022-02-03 04:13:26.400,comp 142,Mac-864,Bonnie Giorgi
43,2022-02-03 04:53:45.600,Comp 394,server381,Megan Godines
44,2022-02-03 05:34:04.800,srv-987,server563,Steven Aikman
45,2022-02-03 06:14:24.000,comp 968,esx-435,Patricia Lowe
46,2022-02-03 06:54:43.200,mac-971,comp 583,Lolita Landis
47,2022-02-03 07:35:02.400,mac-663,Server-machine-230,Daniel Gonzalez
48,2022-02-03 08:15:21.600,srv-154,Comp 343,Harold Roques
49,2022-02-03 08:55:40.800,Server-machine-456,Comp 90,Virginia Back
50,2022-02-03 09:36:00.000,comp 468,mac-174,Kevin Walt
51,2022-02-03 10:16:19.200,Mac-316,Server-machine-528,Glenn Hudson
52,2022-02-03 10:56:38.400,mac-899,server991,David Leif
53,2022-02-03 11:36:57.600,srv-855,esx-125,Robert Principato
54,2022-02-03 12:17:16.800,server287,mac-929,Caitlin Rasmussen
55,2022-02-03 12:57:36.000,server554,mac-41,James Crossley
56,2022-02-03 13:37:55.200,mac-138,Comp 826,Fernando Markley
57,2022-02-03 14:18:14.400,Comp 246,Mac-812,William Avery
58,2022-02-03 14:58:33.600,Mac-324,mac-715,Elsie Shapiro
59,2022-02-03 15:38:52.800,srv-77,mac-688,Joe Thomas
60,2022-02-03 16:19:12.000,comp 629,Mac-774,Sheena Sterling
61,2022-02-03 16:59:31.200,Comp 54,comp 501,Mary Orozco
62,2022-02-03 17:39:50.400,mac-233,Server-machine-884,Sharon Malone
63,2022-02-03 18:20:09.600,Server-machine-737,Comp 663,Angelia Garcia
64,2022-02-03 19:00:28.800,comp 680,server655,Evelyn Thurman
65,2022-02-03 19:40:48.000,Comp 307,srv-729,Laura Krapp
66,2022-02-03 20:21:07.200,srv-355,comp 173,Frankie Mcghee
67,2022-02-03 21:01:26.400,srv-98,comp 80,Chester Smith
68,2022-02-03 21:41:45.600,Server-machine-920,comp 961,Timothy Zahner
69,2022-02-03 22:22:04.800,esx-801,server310,Elizabeth Evans
70,2022-02-03 23:02:24.000,Server-machine-369,mac-471,Robert Ford
71,2022-02-03 23:42:43.200,esx-735,Server-machine-371,Gerard Ross
72,2022-02-04 00:23:02.400,Mac-699,mac-863,Jeff Hatchett
73,2022-02-04 01:03:21.600,Mac-82,Server-machine-65,Sally Kelly
74,2022-02-04 01:43:40.800,comp 132,comp 891,Bernard Myrlie
75,2022-02-04 02:24:00.000,server475,esx-909,Paige Kingery
76,2022-02-04 03:04:19.200,Mac-808,Comp 548,Henry Douglas
77,2022-02-04 03:44:38.400,Server-machine-895,Comp 65,Karen Hood
78,2022-02-04 04:24:57.600,esx-606,Server-machine-509,Rose Dufilho
79,2022-02-04 05:05:16.800,Mac-25,Server-machine-46,Dolores Kornegay
80,2022-02-04 05:45:36.000,Comp 91,mac-272,Larry Mcnamara
81,2022-02-04 06:25:55.200,Server-machine-391,esx-580,Derick Gibson
82,2022-02-04 07:06:14.400,srv-646,mac-97,Roger Lazaroff
83,2022-02-04 07:46:33.600,mac-614,Mac-821,Ladonna Murphy
84,2022-02-04 08:26:52.800,Mac-537,server812,Enrique Raymond
85,2022-02-04 09:07:12.000,server642,Mac-84,Gloria Boone
86,2022-02-04 09:47:31.200,Comp 164,mac-962,Michael Holsworth
87,2022-02-04 10:27:50.400,server307,srv-599,Eugene Clark
88,2022-02-04 11:08:09.600,Comp 325,Comp 65,Mary Cruz
89,2022-02-04 11:48:28.800,comp 533,mac-630,Robin Watkins
90,2022-02-04 12:28:48.000,Server-machine-192,srv-31,Carl Kenkel
91,2022-02-04 13:09:07.200,srv-559,Comp 767,Paul Wojenski
92,2022-02-04 13:49:26.400,Mac-453,mac-850,Nicole Russell
93,2022-02-04 14:29:45.600,Server-machine-254,Comp 416,Jose Palesano
94,2022-02-04 15:10:04.800,server463,comp 435,Oren Patel
95,2022-02-04 15:50:24.000,Comp 967,server641,Eugene Lai
96,2022-02-04 16:30:43.200,srv-818,comp 761,Hubert Boston
97,2022-02-04 17:11:02.400,Comp 598,comp 141,Curtis Hawks
98,2022-02-04 17:51:21.600,Mac-934,mac-420,David Maynard
99,2022-02-04 18:31:40.800,comp 745,esx-860,Maria Adkinson
100,2022-02-04 19:12:00.000,mac-951,esx-488,Brandon Stonis
101,2022-02-04 19:52:19.200,comp 891,mac-407,Tabitha Yentsch
102,2022-02-04 20:32:38.400,Comp 81,comp 748,Laurie Wolchesky
103,2022-02-04 21:12:57.600,server663,mac-576,Kevin Becker
104,2022-02-04 21:53:16.800,server610,Mac-315,Darryl Brandon
105,2022-02-04 22:33:36.000,server472,Mac-300,Clifford Hunter
106,2022-02-04 23:13:55.200,esx-601,mac-251,Jennifer Caffrey
107,2022-02-04 23:54:14.400,Comp 140,comp 253,Betty Dykstra
